0,785734579281862656
15,785843039835136000,14:02:57.739688
19,785843298179149825,14:04:00.348854
16,785843566413221889,14:05:02.428517
12,785843831359021056,14:06:05.553679
11,785844083742875648,14:07:07.712839
10,785844355886120961,14:08:10.956215
18,785844596895088640,14:09:13.022469
15,785844878609641476,14:10:15.179464
12,785845095576825856,14:11:17.189376
12,785845395846987776,14:12:19.250762
13,785845632439377920,14:13:21.557190
11,785845922664214528,14:14:31.893599
10,785846216978497537,14:15:34.030703
13,785846476236881920,14:16:36.245990
11,785846751114752006,14:17:47.657280
19,785847031344627712,14:18:50.049542
9,785847286928728064,14:19:52.799722
15,785847556907606017,14:20:54.959867
7,785847811975815168,14:21:59.259552
11,785848080394575872,14:23:02.365774
17,785848356807606272,14:24:04.457182
11,785848594289061888,14:25:06.935400
12,785848873638125569,14:26:09.082237
14,785849128567902209,14:27:11.331640
13,785849390594420736,14:28:13.465314
14,785849666755854337,14:29:16.961270
15,785849900487540740,14:30:21.560843
18,785850199482785792,14:31:23.665814
28,785850444790820865,14:32:25.669988
23,785850702132281344,14:33:27.664089
35,785850975152119808,14:34:30.348058
11,785851233726758913,14:35:32.300812
17,785851499138146304,14:36:37.099190
21,785851765270908929,14:37:42.869059
15,785852021211619330,14:38:44.855980
9,785852303320444928,14:40:06.539842
17,785852645785337858,14:41:08.709902
7,785852876555948032,14:42:12.156228
6,785853121276895233,14:43:14.165874
12,785853425057730562,14:53:02.362894
50,785855918470750209,14:54:09.530141
14,785856169592102912,14:55:13.259352
8,785856419954384896,14:56:15.255940
10,785856681372704768,14:57:18.428273
